relation,a,b,c,d
son-father,aBimanyu,arjuna,dakza,brahmA
son-father,aBimanyu,arjuna,drupadA,sriKanqI
son-father,aBimanyu,arjuna,Gawotkaca,BIma
son-father,aBimanyu,arjuna,pralhada,hiraRyakaSipu
son-father,aBimanyu,arjuna,arjuna,indra
son-father,aBimanyu,arjuna,aSvatTAmA,droRA
son-father,aBimanyu,arjuna,BIzmA,SAntanu
son-father,aBimanyu,arjuna,DftarAzwra,vicitravIrya
son-father,aBimanyu,arjuna,SiSupAla,dAmaGoza
son-father,aBimanyu,arjuna,SukrAcArya,Bfgu
son-father,aBimanyu,arjuna,gaReSaH,SivaH
son-father,aBimanyu,arjuna,anirudDaH,kAmadevaH
son-father,aBimanyu,arjuna,kArtikeyaH,SivaH
son-father,aBimanyu,arjuna,uzwraSiSuH,uzwraH
son-father,aBimanyu,arjuna,kAmadevaH,vizRuH
son-father,aBimanyu,arjuna,vizRuH,vasudevaH
son-father,aBimanyu,arjuna,sanatkumAraH,brahmA
son-father,aBimanyu,arjuna,jayantaH,indraH
son-father,aBimanyu,arjuna,nalakUbaraH,kuberaH
son-father,aBimanyu,arjuna,indrajit,rAvaRa
son-father,aBimanyu,arjuna,rAvaRa,visrava
son-father,aBimanyu,arjuna,visrava,pulastya
son-father,aBimanyu,arjuna,SAntanu,kuru
son-father,aBimanyu,arjuna,yuyutsu,DftarAzwra
son-father,aBimanyu,arjuna,vriSketu,karRa
son-father,aBimanyu,arjuna,vabrUvAhana,arjuna
son-father,aBimanyu,arjuna,prativinDya,yuDizWira
son-father,aBimanyu,arjuna,sutasoma,BIma
son-father,aBimanyu,arjuna,srutakarma,sahadeva
son-father,aBimanyu,arjuna,satAtika,nakula
son-father,aBimanyu,arjuna,parikSit,janamejaya
son-father,aBimanyu,arjuna,irAvan,arjuna
son-father,aBimanyu,arjuna,srutakIrti,arjuna
son-father,aBimanyu,arjuna,karRa,sUryadeva
son-father,aBimanyu,arjuna,daSaraTa,aja
son-father,aBimanyu,arjuna,rAma,daSaraTa
son-father,aBimanyu,arjuna,lakzmaRa,daSaraTa
son-father,aBimanyu,arjuna,Barata,daSaraTa
son-father,aBimanyu,arjuna,SatruGna,daSaraTa
son-father,aBimanyu,arjuna,hanumAn,vAyU
son-father,aBimanyu,arjuna,Sakuni,suvala
son-father,aBimanyu,arjuna,vriSaka,suvala
son-father,aBimanyu,arjuna,jambumali,prahasta
son-father,aBimanyu,arjuna,lava,rAma
son-father,aBimanyu,arjuna,kuSa,rAma
son-father,aBimanyu,arjuna,nala,viSvakarmA
son-father,aBimanyu,arjuna,jawAyu,aruna
son-father,aBimanyu,arjuna,triSira,rAvaRa
son-father,aBimanyu,arjuna,atikAya,rAvaRa
son-father,aBimanyu,arjuna,angada,bAli
son-father,aBimanyu,arjuna,bArbarika,Gawotkaca
son-father,aBimanyu,arjuna,banasena,karRa
son-father,aBimanyu,arjuna,balarAm,vAsudeva
son-father,aBimanyu,arjuna,durmasena,duHSAsana
son-father,dakza,brahmA,aBimanyu,arjuna
son-father,dakza,brahmA,drupadA,sriKanqI
son-father,dakza,brahmA,Gawotkaca,BIma
son-father,dakza,brahmA,pralhada,hiraRyakaSipu
son-father,dakza,brahmA,arjuna,indra
son-father,dakza,brahmA,aSvatTAmA,droRA
son-father,dakza,brahmA,BIzmA,SAntanu
son-father,dakza,brahmA,DftarAzwra,vicitravIrya
son-father,dakza,brahmA,SiSupAla,dAmaGoza
son-father,dakza,brahmA,SukrAcArya,Bfgu
son-father,dakza,brahmA,gaReSaH,SivaH
son-father,dakza,brahmA,anirudDaH,kAmadevaH
son-father,dakza,brahmA,kArtikeyaH,SivaH
son-father,dakza,brahmA,uzwraSiSuH,uzwraH
son-father,dakza,brahmA,kAmadevaH,vizRuH
son-father,dakza,brahmA,vizRuH,vasudevaH
son-father,dakza,brahmA,sanatkumAraH,brahmA
son-father,dakza,brahmA,jayantaH,indraH
