relation,a,b,c,d
1_pa.pa,raYj,rajeyuH,vah,vaheyuH
6_pa.pa,fz,fzatAm,kuw,kuwatAm
4_A.pa,mfz,mfzyeya,yuj,yujyeya
10_pa.pa,kaRq,kaRqayeta,guRq,guRqayeta
6_pa.pa,fz,Anfzima,il,Iylima
2_A.pa,SI,SayyAsta,hnu,hnUyAsta
6_A.pa,gur,guryevahi,kfz,kfzyevahi
1_A.pa,BrAj,aBrAjyetAm,DAv,aDAvyetAm
7_A.pa,kzud,kzuRadAma,tfd,tfRadAma
2_pa.pa,prA,aprAH,kzRu,akzROH
2_A.pa,duh,aduhi,hnu,ahnuvi
5_pa.pa,spf,sparyasva,Sak,Sakyasva
7_A.pa,tfd,tfntta,kzud,kzuntta
10_pa.pa,spfh,spfhayizyati,guRq,guRqayizyati
2_A.pa,SI,SayyAvahe,hnu,hnUyAvahe
1_A.pa,ven,venata,DAv,DAvata
9_A.pa,lU,lUyeran,vf,vriyeran
8_pa.pa,kf,kurvAtAm,san,sanvAtAm
1_pa.pa,vah,uhyeyATAm,svan,svanyeyATAm
3_pa.pa,BI,abiBeH,viz,avivew
2_A.pa,hnu,hnozyante,duh,Dokzyante
4_pa.pa,snih,asnihyaTAH,Sliz,aSlizyaTAH
3_A.pa,hA,hAyAsam,nij,nijyAsam
7_A.pa,kzud,kzottA,vic,vektA
6_A.pa,kfz,kfzyeyAtAm,gur,guryeyAtAm
5_pa.pa,spf,sparizyanti,daG,daGizyanti
3_A.pa,hA,ajihIDvam,mA,amimIDvam
8_pa.pa,kf,karavAva,kzan,kzaRavAva
1_A.pa,DAv,DAvyeta,BrAj,BrAjyeta
4_A.pa,yuj,yujyati,mfz,mfzyati
4_pa.pa,Sliz,Slizyeyam,pluz,pluzyeyam
9_pa.pa,grah,grahItArO,aS,aSitArO
4_A.pa,mfz,marzizyaTaH,ri,rezyaTaH
7_A.pa,kzud,kzundanti,tfd,tfndanti
1_pa.pa,raYj,rajyemahi,svan,svanyemahi
1_pa.pa,vah,avahAma,svan,asvanAma
5_pa.pa,spf,sparyAvahE,Sak,SakyAvahE
5_pa.pa,Sak,Sakyante,daG,daGyante
4_pa.pa,pluz,apluzyAvahi,snih,asnihyAvahi
4_A.pa,mfz,mfzyAmahe,yuj,yujyAmahe
3_pa.pa,pF,pipFvaH,viz,vivizvaH
7_A.pa,kzud,akzuntta,vic,aviNkta
5_pa.pa,Sak,Saknutam,daG,daGnutam
6_A.pa,gur,guryAsta,lip,lipyAsta
1_pa.pa,vah,uhyaDvam,raYj,rajyaDvam
10_pa.pa,guRq,guRqayeyAtAm,kaRq,kaRqayeyAtAm
10_A.pa,kuts,kutsayizyase,spaS,spaSayizyase
7_pa.pa,vfj,vfYjyuH,Siz,SiMzyuH
10_A.pa,spaS,spASyAvahe,kuts,kutsyAvahe
7_pa.pa,und,OdyAvahi,Siz,aSizyAvahi
7_pa.pa,und,udyeTAH,vfj,vfjyeTAH
4_pa.pa,snih,asnihyAmahi,Sliz,aSlizyAmahi
10_pa.pa,spfh,aspfhayAva,guRq,aguRqayAva
5_pa.pa,daG,daGyatAm,spf,sparyatAm
3_pa.pa,pF,pipFhi,viz,viviqQi
9_A.pa,lU,lunIyAm,prI,prIRIyAm
5_pa.pa,daG,deGaTuH,spf,pasparaTuH
5_A.pa,kf,akfRvi,ci,acinvi
10_A.pa,kuts,kutsayemahi,spaS,spaSayemahi
6_pa.pa,fz,ArzyaTAH,il,ElyaTAH
10_A.pa,spaS,spASayate,Barts,Bartsayate
9_A.pa,lU,lunIze,prI,prIRIze
9_pa.pa,grah,gfhyantAm,dF,dIryantAm
8_pa.pa,kf,kuryAta,kzan,kzaRuyAta
8_pa.pa,kf,kuruTaH,kzan,kzaRuTaH
7_pa.pa,und,udyate,vfj,vfjyate
2_pa.pa,kzRu,kzRuyAsta,lA,lAyAsta
5_pa.pa,spf,sparizyati,Sak,Sakzyati
7_pa.pa,und,unttaH,vfj,vfNktaH
7_pa.pa,Siz,aSizyaDvam,vfj,avfjyaDvam
6_pa.pa,fz,Arzata,kuw,akuwata
10_pa.pa,spfh,spfhayAmahe,guRq,guRqayAmahe
10_pa.pa,kaRq,akaRqayaH,guRq,aguRqayaH
4_pa.pa,snih,asnihyatam,Sliz,aSlizyatam
4_A.pa,mfz,mamfzAte,yuj,yuyujAte
5_A.pa,kf,kfRvanti,ci,cinvanti
1_pa.pa,vah,uhyAsta,raYj,rajyAsta
3_A.pa,nij,nijye,hA,hAye
10_pa.pa,spfh,spfhayeva,guRq,guRqayeva
1_pa.pa,vah,vahatu,svan,svanatu
4_A.pa,yuj,yujyAvaH,mfz,mfzyAvaH
10_pa.pa,spfh,aspfhayAmahi,guRq,aguRqayAmahi
4_pa.pa,Sliz,Slekzyanti,snih,snehizyanti
10_pa.pa,spfh,spfhayAva,guRq,guRqayAva
3_A.pa,nij,nijyeyAtAm,hA,hAyeyAtAm
10_A.pa,kuts,kutsayata,Barts,Bartsayata
9_A.pa,vf,avfRIDvam,lU,alunIDvam
5_A.pa,kf,akfRvata,aS,ASnuvata
4_A.pa,ri,riryivahe,yuj,yuyujivahe
10_A.pa,Barts,aBartsayata,kuts,akutsayata
6_pa.pa,fz,Arzan,il,Elan
10_pa.pa,guRq,guRqayitAsmi,spfh,spfhayitAsmi
2_pa.pa,kzRu,kzRavitAsmaH,lA,lAtAsmaH
10_pa.pa,kaRq,akaRqayeTAm,guRq,aguRqayeTAm
7_pa.pa,und,OdyetAm,Siz,aSizyetAm
1_pa.pa,raYj,rajyevahi,vah,uhyevahi
9_A.pa,lU,lavizyete,prI,prezyete
6_A.pa,lip,limpata,kfz,kfzata
4_pa.pa,pluz,pluzyeTAH,snih,snihyeTAH
10_A.pa,Barts,BartsayizyAmahe,spaS,spaSayizyAmahe
10_A.pa,Barts,BartsayeDvam,spaS,spaSayeDvam
2_A.pa,SI,aSeta,hnu,ahnuta
10_pa.pa,guRq,guRqyE,spfh,sparhyE
5_A.pa,kf,kriyAmahE,aS,aSyAmahE
6_pa.pa,fz,fzyasva,il,ilyasva
7_A.pa,vic,vekzyAvahe,kzud,kzotsyAvahe
4_pa.pa,pluz,pluzyasi,Sliz,Slizyasi
10_pa.pa,guRq,guRqayitAsi,spfh,spfhayitAsi
6_A.pa,lip,lepsyAmahe,gur,gorizyAmahe
9_A.pa,lU,lunImaH,vf,vfRImaH
6_A.pa,kfz,kfzyeya,lip,lipyeya
7_A.pa,vic,vicyAsam,tfd,tfdyAsam
8_pa.pa,kf,karizyante,kzan,kzanizyante
7_pa.pa,und,udyAt,Siz,SizyAt
6_pa.pa,il,iyeliTa,kuw,cukowiTa
6_A.pa,gur,gurate,kfz,kfzate
9_pa.pa,aS,aSyAt,dF,dIryAt
5_A.pa,kf,kriyaDve,aS,aSyaDve
5_pa.pa,spf,aspfRvan,daG,adaGnuvan
10_pa.pa,guRq,guRqayate,spfh,spfhayate
7_pa.pa,vfj,avfNkta,und,Ontta
7_pa.pa,Siz,SizyAmahE,vfj,vfjyAmahE
8_pa.pa,kzan,kzaRvAte,kf,kurvAte
7_pa.pa,Siz,aSiMzwa,und,Ontta
4_A.pa,mfz,mamfze,yuj,yuyuje
4_A.pa,ri,rezyati,mfz,marzizyati
2_A.pa,SI,SayIyATAm,duh,duhIyATAm
9_pa.pa,dF,dIryeyAtAm,aS,aSyeyAtAm
7_pa.pa,und,udyeta,Siz,Sizyeta
2_A.pa,SI,SayyAmahe,duh,duhyAmahe
3_A.pa,nij,anijyaTAH,mA,amIyaTAH
1_pa.pa,raYj,rajyate,vah,uhyate
5_A.pa,kf,kriyante,aS,aSyante
9_A.pa,prI,prIye,vf,vriye
8_pa.pa,kf,kurute,kzan,kzaRute
2_pa.pa,prA,prATa,kzRu,kzRuTa
4_A.pa,mfz,marzitAsTaH,yuj,yoktAsTaH
5_pa.pa,daG,daGnuvaH,Sak,SaknuvaH
7_pa.pa,und,unditAraH,Siz,SezwAraH
6_pa.pa,kuw,kowizyAvaH,fz,arzizyAvaH
7_pa.pa,und,udyeDvam,Siz,SizyeDvam
4_A.pa,yuj,yokzyete,ri,rezyete
8_pa.pa,san,sanavAvahE,kzan,kzaRavAvahE
8_pa.pa,san,sanuyAva,kf,kuryAva
9_A.pa,lU,lUyAstAm,vf,vriyAstAm
6_A.pa,lip,alimpAma,kfz,akfzAma
6_pa.pa,il,elizyAmi,kuw,kowizyAmi
7_A.pa,kzud,kzunttAm,tfd,tfnttAm
4_A.pa,ri,rIyeTe,yuj,yujyeTe
5_A.pa,aS,aSyAsam,kf,kriyAsam
2_pa.pa,lA,alAyeTAm,kzRu,akzRuyeTAm
6_A.pa,gur,gurevahi,kfz,kfzevahi
10_pa.pa,guRq,guRqayizyaTa,kaRq,kaRqayizyaTa
6_A.pa,gur,guryeran,lip,lipyeran
10_pa.pa,kaRq,akaRqayAmahi,spfh,aspfhayAmahi
7_A.pa,vic,viNkte,kzud,kzuntte
8_pa.pa,kzan,akzaRvATAm,kf,akurvATAm
5_A.pa,ci,cIyasva,aS,aSyasva
4_pa.pa,Sliz,SlizyaDve,snih,snihyaDve
8_pa.pa,kzan,kzanizyAvahe,san,sanizyAvahe
9_pa.pa,dF,adfRItAm,aS,ASnItAm
3_pa.pa,BI,BIyeran,viz,vizyeran
7_pa.pa,vfj,vfjyaDvam,Siz,SizyaDvam
5_A.pa,ci,cinozi,kf,kfRozi
4_pa.pa,Sliz,Slizyantu,snih,snihyantu
10_pa.pa,spfh,spfhayase,kaRq,kaRqayase
2_pa.pa,lA,lAtAsTaH,kzRu,kzRavitAsTaH
4_pa.pa,pluz,pluzyatAm,Sliz,SlizyatAm
7_pa.pa,Siz,SekzyaTaH,und,undizyaTaH
2_A.pa,hnu,hnuze,SI,Seze
8_pa.pa,kf,akurvan,san,asanvan
1_pa.pa,vah,vahaTa,svan,svanaTa
10_pa.pa,spfh,spfhayate,kaRq,kaRqayate
3_A.pa,nij,nijyeTAH,hA,hAyeTAH
8_pa.pa,kf,kuryAt,san,sanuyAt
9_pa.pa,grah,grahItAsi,aS,aSitAsi
6_A.pa,kfz,kfzyeTAH,lip,lipyeTAH
4_pa.pa,snih,sizRihiva,pluz,pupluziva
6_pa.pa,kuw,kuwAma,fz,fzAma
